                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.93488,                0.49608,                 1.0869,                0.93456,                0.85633,                0.93277,                0.65828,                 1.1452,                0.57947,                 1.2616,             0.00025479,             0.00025479,             0.00025479
                     85,                0.93415,                0.50089,                 1.0908,                0.91572,                 0.8795,                0.93627,                 0.6604,                 1.1388,                0.56412,                 1.2613,             0.00024064,             0.00024064,             0.00024064
                     86,                0.93523,                0.49671,                 1.0868,                0.91323,                0.88457,                0.93593,                0.66171,                 1.1434,                0.56838,                  1.257,              0.0002265,              0.0002265,              0.0002265
                     87,                0.91865,                0.49655,                 1.0843,                0.89943,                0.89129,                 0.9364,                  0.662,                 1.1518,                0.56883,                 1.2699,             0.00021235,             0.00021235,             0.00021235
                     88,                0.92406,                0.48951,                 1.0838,                0.90804,                0.88748,                0.94032,                0.66529,                 1.1397,                0.55364,                 1.2565,              0.0001982,              0.0001982,              0.0001982
                     89,                0.92604,                0.49134,                 1.0823,                0.91208,                0.88314,                0.93869,                0.66639,                 1.1497,                 0.5595,                 1.2609,             0.00018406,             0.00018406,             0.00018406
                     90,                0.92202,                0.48937,                 1.0828,                0.91526,                 0.8817,                0.93667,                0.66435,                  1.147,                0.55911,                 1.2599,             0.00016991,             0.00016991,             0.00016991
                     91,                 0.9236,                0.45255,                 1.0743,                 0.9128,                0.87981,                0.93448,                0.66257,                 1.1551,                0.56987,                 1.2753,             0.00015576,             0.00015576,             0.00015576
                     92,                0.90822,                0.43539,                 1.0662,                0.90529,                0.88315,                0.93564,                0.66481,                 1.1488,                0.56356,                 1.2667,             0.00014161,             0.00014161,             0.00014161
                     93,                0.89572,                0.42683,                 1.0552,                0.91801,                0.87293,                0.93273,                0.66111,                 1.1521,                0.57335,                 1.2714,             0.00012747,             0.00012747,             0.00012747
                     94,                0.88514,                0.41817,                 1.0502,                0.92335,                0.88397,                0.93539,                0.66376,                 1.1532,                0.56705,                 1.2762,             0.00011332,             0.00011332,             0.00011332
                     95,                0.88902,                0.41943,                 1.0521,                0.90458,                0.88236,                0.93685,                0.66329,                 1.1518,                0.56093,                 1.2734,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.87878,                0.41568,                 1.0505,                    0.9,                0.89259,                 0.9371,                 0.6639,                 1.1501,                0.56215,                 1.2725,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.87558,                0.41416,                 1.0484,                0.90725,                0.88707,                0.93568,                 0.6654,                   1.15,                0.56395,                 1.2719,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.87094,                0.41416,                  1.044,                0.91255,                0.87808,                0.93511,                0.66663,                  1.147,                 0.5654,                  1.271,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.87025,                 0.4116,                 1.0427,                0.92257,                0.87071,                0.93501,                0.66611,                  1.148,                0.56364,                 1.2711,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.86831,                0.40761,                 1.0397,                 0.9181,                0.87777,                0.93579,                0.66487,                 1.1461,                0.56321,                 1.2678,             2.8437e-05,             2.8437e-05,             2.8437e-05
